AtGeneID,At_RT_35S,At_RT_V,At_RT_EN,At_MZ,At_EP,At_PH,At_MCO,At_COR
AT2G28540,274.13,235.64,235.68,159.47,141.01,188.24,155.28,165.59
AT2G28550,829.25,676.32,708.16,543.95,654.87,879.86,457.76,620.77
AT2G28570,46.79,55.29,54.35,53.49,91.49,107.79,106.42,72.96
AT2G28590,73.92,40.34,34.06,106.89,94.91,155.71,69.43,29.13
AT2G28600,414.04,286.71,486.85,473.6,333.55,262.13,389.53,243.23
AT2G28605,55.13,50.5,51.5,34.12,35.78,35.11,32.24,39.69
AT2G28620,75.6,108.96,98.72,62.91,62.17,54.71,75.18,28.94
AT2G28630,40.6,34.54,37.73,40.21,35.1,41.78,33.36,44.33
AT2G28640,25.58,26.36,26.99,21.64,25.46,23.86,22.97,28.19
AT2G28650,69.96,75.49,90.08,62.98,50.03,55.05,65.54,49.81
AT2G28660,532.75,376.22,259.91,297.35,181.84,110.3,103.11,75.64
AT2G28670,2371.01,2042.69,6701.14,2775.98,1243.81,1993.44,2047.48,979.32
AT2G28690,25.06,29.16,27.69,27.58,34.03,25.08,25.74,51.6
AT2G28710,81.37,93,85.11,90.82,147.13,99.83,136.23,141.46
AT2G28720,34.28,25.9,25.92,136.48,239.62,94.06,184.99,378.67
AT2G28740,84.99,79.18,37.17,586.48,507.63,323.5,571.07,415.03
AT2G28755,16.75,16.18,17.04,17.3,17.07,17.19,20.61,17.61
AT2G28760,398.78,364.45,375.38,611.68,218.96,371.82,665.06,218.52
AT2G28780,88.56,36.77,79.3,325,45.62,130.93,66.67,33.82
AT2G28790,280.5,1772.76,993.84,446.34,1678.38,1782.47,2582.67,525.5
AT2G28800,381.64,388.61,610.43,548,342.34,618.38,419.38,519.96
AT2G28810,219.77,264.65,189.61,325.75,364.2,593.16,238.28,98
AT2G28830,64.69,47.38,62.33,43.77,39.64,44.38,34.92,41.68
AT2G28840,535.22,1269.67,611.92,1573.74,1147.3,1334.35,1286.18,1385.94
AT2G28850,98.81,104.01,272.54,95.97,136.37,123.04,200.68,66.05
AT2G28870,31.72,32.22,25.89,29.83,28.06,24.91,28.04,26.41
AT2G28880,56.56,51.69,71.02,54.55,66.83,71.84,64.21,49.98
AT2G28890,1730.06,1072.6,1975.92,1417.36,1105.74,778.18,1174.92,2506.26
AT2G28900,814.34,541.54,234.22,2006.57,2489.3,2298.94,1280.39,403.87
AT2G28910,5492.41,7495.25,5265.17,5396.23,7408.02,5988.74,8206.79,6898.87
AT2G28930,235.73,103.7,201.74,249.43,126.33,65.96,126.64,48.73
AT2G28940,88.31,151.71,211.03,77.33,149.37,105.18,186.7,156.6
AT2G28950,394.37,217.92,105.3,795.02,265.08,61.6,143.94,122.46
AT2G28960,17.94,15.36,46.51,28.24,49.63,39.24,72.64,82.54
AT2G28970,42.18,53.41,147.45,28.76,83.76,62.53,114.76,48.22
AT2G28980,22.35,20.33,20.74,17.37,20.82,18.36,19.3,19.21
AT2G28990,29.9,40.69,67.25,29.53,65.58,66.21,71.43,46.2
AT2G29020,883.56,1135.93,780.14,1567.78,1589.29,1483.96,1960.13,2017.65
AT2G29050,254.28,221.74,234.27,153.51,99.01,107.48,129.58,132
AT2G29060,50.4,38.83,33.82,46.45,38.53,35.88,28.6,46.9
AT2G29070,74.94,81.8,99.65,63.55,97.96,165.75,77.51,89.55
AT2G29080,847.87,860.44,2634.9,1197.05,1169.88,1418.37,1309.51,1209.65
