X,MCO,EN,V,MZ,QC,X35S,MUSuniq
Os06g0163900,4.396276227,4.959754921,5.312442198,1.912546138,2.668734441,2.046170882,LOC_Os06g06860
Os06g0163701,22.46968436,30.16249228,10.76665815,9.554366021,4.977094438,15.55347533,LOC_Os06g06850
Os06g0163600,7.910968287,8.499713975,6.709441851,23.94203274,13.20950956,12.70914749,LOC_Os06g06820
Os06g0163500,4.161079888,3.511314871,3.247354459,2.004537546,2.673830646,1.843151647,LOC_Os06g06810
Os06g0163400,5.245917048,5.928739799,5.702100505,25.52672375,15.35007546,8.492314999,LOC_Os06g06790
Os06g0163300,47.65798522,33.47508586,43.54293828,102.408841,21.99943813,70.87522285,LOC_Os06g06780
Os06g0163200,19.54057373,11.85047427,17.1679522,8.78368729,9.444851299,9.449714172,LOC_Os06g06770
Os06g0163000,8.196930535,7.231403546,9.836382283,4.312451977,2.917121949,7.305023889,LOC_Os06g06760
Os06g0162600,7.306663501,4.85617498,4.200401801,7.402598471,9.519632158,6.670566349,LOC_Os06g06730
Os06g0162500,6.143506875,6.789893044,5.782203716,8.81427818,5.006634043,7.004345229,LOC_Os06g06720
Os06g0161300,3.609570816,2.494227863,3.304923616,1.536979449,2.318365336,1.274492089,LOC_Os06g06600
Os06g0160700,0.458587077,1.301726342,1.111366147,1.496419682,15.86646836,2.327012253,LOC_Os06g06560
Os06g0160600,1.291991379,2.2269852,2.162506158,3.335625129,0.250822454,0.138191153,LOC_Os06g06550
Os06g0160400,8.534436821,6.91653874,6.778510322,16.68113884,16.51318254,16.82036301,LOC_Os06g06530
Os06g0160100,9.150333348,8.482971258,5.595522968,33.01182487,23.35718078,2.955265251,LOC_Os06g06510
Os06g0159725,3.051275809,0,0.427697582,5.716801575,7.389065897,0,LOC_Os06g06480
Os06g0159600,50.88850063,42.12029031,44.44193805,42.01940533,32.60820093,51.26106595,LOC_Os06g06470
Os06g0159450,8.81331132,11.14365338,6.772429746,36.77011658,32.0982065,3.750372327,LOC_Os06g06460
Os06g0158900,3.131330443,2.003953772,2.38591547,3.37188202,0.783239307,4.362331928,LOC_Os06g06440
Os06g0158800,2.167548261,2.906742487,3.02245674,1.393129547,0.760432391,0.49573235,LOC_Os06g06430
Os06g0158700,3.526636751,12.14939621,1.414194534,3.432467497,5.126503611,1.372816212,LOC_Os06g06420
Os06g0158600,7.396593795,7.400687284,11.20835144,13.42047588,10.87520246,10.33271406,LOC_Os06g06410
Os06g0158500,1.949823966,2.845712072,3.223110835,1.212259379,0.700583259,1.033570672,LOC_Os06g06400
Os06g0158400,1.127618412,2.010968353,2.780446871,0.839335454,0.575600755,0.55971156,LOC_Os06g06390
Os06g0158300,4.063490754,3.827098646,2.061803909,0.305283972,0.753851876,0.089485653,LOC_Os06g06380
Os06g0158200,2.629912641,3.513614361,2.605023281,3.027170869,4.382749076,2.686947347,LOC_Os06g06370
Os06g0158000,7.944885493,5.703269571,9.084085839,13.65528685,2.05860889,17.93149411,LOC_Os06g06350
Os06g0157900,7.697157163,2.584228692,0,0.302934273,13.09310725,0.439406275,LOC_Os06g06340
Os06g0157800,35.38025578,31.37703873,16.3668938,17.02792003,16.48878348,17.72675198,LOC_Os06g06330
Os06g0157000,94.59742015,72.42632197,99.18788127,202.7544788,37.46524637,113.0565302,LOC_Os06g06290
Os06g0156900,6.249181681,6.680354062,7.66509285,7.851517439,12.08597222,6.121712944,LOC_Os06g06280
Os06g0156600,41.36336591,33.73307286,37.29779233,83.79127974,16.38026979,19.42708504,LOC_Os06g06250
Os06g0155900,2.485872963,2.107551263,2.739820276,1.92196738,1.656922059,3.948181452,LOC_Os06g06210
Os06g0155600,5.843973281,6.604559964,6.043931878,4.541413533,4.018712742,7.756212351,LOC_Os06g06190
Os06g0155500,18.83395928,16.19549365,16.95406403,8.333033536,10.42985886,8.27919581,LOC_Os06g06180
Os06g0155400,16.74156995,17.01761291,14.35392939,3.244977084,4.207548144,3.095028791,LOC_Os06g06170
Os06g0155300,85.9407487,82.28409076,71.46068075,47.75516319,158.441513,51.74187479,LOC_Os06g06160
Os06g0154900,15.42347454,13.19125317,13.31799044,4.760130109,5.300668249,6.167531746,LOC_Os06g06120
Os06g0154800,9.403679179,9.862450144,11.61653589,4.187826415,5.554792485,5.707106695,LOC_Os06g06115
Os06g0154500,13.36419863,16.63286509,14.49904408,27.62240835,28.65566104,27.90040535,LOC_Os06g06090
Os06g0154400,9.20961759,11.19683889,9.358551658,2.03393074,3.431145172,3.12274206,LOC_Os06g06080
Os06g0154200,10.4721274,11.2244399,7.097780371,10.65371515,7.68753804,18.07782866,LOC_Os06g06050
Os06g0153900,20.5264505,24.58702281,20.75141033,8.744389276,10.8667696,9.429439807,LOC_Os06g06040
Os06g0153800,59.54578662,57.88160616,65.56444028,203.311381,178.218186,146.5505738,LOC_Os06g06030
Os06g0153600,4.88918249,5.564742129,3.716141363,4.552380924,4.025915955,4.804608691,LOC_Os06g06014
Os06g0153200,8.905063369,7.423050733,13.49449746,4.556159904,21.72742975,1.900302314,LOC_Os06g05980
Os06g0153000,1.220709433,0.340727206,0.442777334,3.469477119,0.416974447,2.457240527,LOC_Os06g05960
Os06g0152800,0,0.118552161,0.187623999,0.150802804,0.09108079,2.780255056,LOC_Os06g05950
Os06g0152600,224.3808732,224.3589041,167.380968,316.2601765,124.8310631,122.7908963,LOC_Os06g05930
Os06g0152400,1.982842952,1.275735511,2.108767974,0.20870013,0.695131827,0.437872816,LOC_Os06g05910
Os06g0152300,3.942356295,4.434353734,4.670324727,6.120276499,7.017977868,4.119242169,LOC_Os06g05900
Os06g0152200,7.577700896,7.706119689,8.533389753,19.44818854,20.82365636,28.66310816,LOC_Os06g05890
Os06g0152100,87.01296225,86.17014735,101.0472906,261.2429557,530.500993,261.1730046,LOC_Os06g05880
Os06g0152000,15.20656565,21.63799758,15.46790218,3.921512208,4.760204086,2.831325949,LOC_Os06g05870
Os06g0151900,17.03302877,14.45639601,15.55969027,17.18874785,13.3031676,13.81137726,LOC_Os06g05860
Os06g0151700,6.372807807,3.993610118,4.287730273,5.161414082,2.826486165,4.947354649,LOC_Os06g05830
Os06g0151600,2.207972455,2.657832807,2.02743531,2.698331803,4.812062972,2.597615554,LOC_Os06g05820
Os06g0151300,2.070887761,1.864635405,3.438459098,4.868323133,5.619817559,2.840744635,LOC_Os06g05804
Os06g0151200,13.37330022,8.683345833,9.238239004,5.834045203,7.584109827,4.41113274,LOC_Os06g05800
Os06g0151100,1.69E-06,0.220687626,9.58E-07,1.829117528,4.55E-08,4.969249631,LOC_Os06g05790
Os06g0150600,3.666012782,3.30279211,3.380547202,7.417039637,2.997631684,9.405828966,LOC_Os06g05750
Os06g0150400,22.53007952,22.88867768,22.40103229,44.63497027,51.83256136,33.00419723,LOC_Os06g05740
Os06g0150100,8.437329385,7.189313476,9.25097419,7.976283027,11.68710809,7.050579573,LOC_Os06g05720
Os06g0149900,34.3369973,34.95195691,35.45716236,96.56427816,13.87405175,93.33037946,LOC_Os06g05700
Os06g0149700,0.000132154,8.205324116,8.816469325,23.33865159,0.803250235,17.2082397,LOC_Os06g05690
Os06g0149500,16.57065809,21.99986099,11.93470442,16.20475305,15.43900775,12.05249129,LOC_Os06g05670
Os06g0149400,22.8716944,35.36781792,29.19354714,54.9278269,66.91490537,55.76054635,LOC_Os06g05660
Os06g0149300,14.38102826,22.74110783,13.04307781,18.40988259,13.66070072,14.80270023,LOC_Os06g05650
Os06g0149200,0,0,0,0,3.712113028,0,LOC_Os06g05640
Os06g0149100,3.322169453,2.993766703,1.983735135,1.151700442,1.240832379,1.069891022,LOC_Os06g05630
Os06g0148000,2.072810203,2.845398749,2.965620189,2.264763117,2.472318613,2.101196691,LOC_Os06g05530
Os06g0147800,7.872509755,6.143897032,10.10326171,10.22093173,9.134335791,14.64850291,LOC_Os06g05520
Os06g0147600,0,0,4.380179346,0.908727041,0,0.529455764,LOC_Os06g05510
Os06g0147400,6.34081141,9.076282344,5.254445824,11.78646311,23.32744398,37.34061661,LOC_Os06g05480
Os06g0147300,0,0.745019276,0.913771767,4.013055109,0.398527525,4.495349294,LOC_Os06g05470
Os06g0147100,6.56738821,10.71557773,7.620024073,2.336471773,2.133374843,7.995176486,LOC_Os06g05440
Os06g0147000,3.812074382,3.07977501,1.015856169,4.025949093,6.446385315,2.322260203,LOC_Os06g05430
Os06g0146900,0.626800628,0.240480358,2.62449657,0.759566087,0.593116053,0.5113815,LOC_Os06g05424
Os06g0146800,2.447083304,5.868562035,3.90130007,25.78220325,4.44516691,14.68349118,LOC_Os06g05420
Os06g0146400,8.407896718,8.848259221,9.609596584,16.04405251,9.42189846,39.72019862,LOC_Os06g05400
Os06g0146300,2.608198159,2.80970659,3.395879673,3.733179425,2.215244883,12.04043942,LOC_Os06g05390
Os06g0146250,1.629813617,1.651664665,1.696819873,2.08884528,0.472916799,0.541436023,LOC_Os06g05380
Os06g0145800,2.480792302,1.807140064,0.279365482,4.330897552,6.13593946,4.43335613,LOC_Os06g05350
Os06g0145200,9.433073592,9.264251457,4.353070658,5.393587712,2.80544958,8.766951814,LOC_Os06g05284
Os06g0144800,9.948174045,12.80587634,12.27796369,5.953077391,5.718594735,3.086072447,LOC_Os06g05250
Os06g0144600,9.17393605,10.50153897,13.11099913,3.834909334,6.542380399,3.628675031,LOC_Os06g05240
Os06g0144000,2.482750451,4.396759474,2.356640995,3.787924335,6.473471039,3.726171589,LOC_Os06g05190
Os06g0143900,50.62765166,51.34492063,51.57696319,90.98609114,148.2573238,55.2496553,LOC_Os06g05180
Os06g0143700,4.837685643,2.907260137,2.28621486,4.72877194,1.956870961,6.55204942,LOC_Os06g05160
Os06g0143600,20.47973271,32.23630328,23.54025688,14.5644488,20.06019359,13.01811058,LOC_Os06g05150
