SlGeneID,Sl_COR,Sl_EN,Sl_EP,Sl_MCO,Sl_MZ,Sl_PH,Sl_V,Sl_QC,Sl_35S
Solyc11g012930.2.1,35.76510688,74.84164304,46.75185219,47.30705996,130.4363161,526.7868114,180.6680723,101.9710126,355.5179315
Solyc11g012940.2.1,3.5338777,1.274459969,10.18455742,0,3.092726516,2.825885303,15.25917656,0,5.200949259
Solyc11g012950.2.1,0.44035281,0.895713454,0.132709599,0,2.305795264,65.55561505,0.214497755,0.827089106,5.332167279
Solyc11g012960.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012970.2.1,37.99903278,6.7829152,19.8082673,7.010020294,30.56566259,15.59065178,17.04769458,4.308647768,26.68435812
Solyc11g012980.1.1,3.331256084,0,0.111603502,0,0,0,0,0,0.96901851
Solyc11g012990.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013000.2.1,77.09497291,62.33603703,119.2646222,79.89424139,79.10747468,69.74459457,51.87902016,61.88220058,79.71311192
Solyc11g013010.2.1,31.27215634,90.92337209,34.89659848,85.17876168,20.23586159,63.66444059,39.55013655,106.8448704,9.375514432
Solyc11g013020.2.1,11.59492029,8.60338009,25.45639102,5.875788427,7.942190241,23.71309014,1.987307674,35.35427221,13.70615045
Solyc11g013030.2.1,17.2481536,14.01070614,14.22447537,5.643878043,8.977155308,17.30830556,20.97856019,16.61526641,13.18557865
Solyc11g013050.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013060.1.1,0,0,0,0,2.702198885,0,0,0,5.262110794
Solyc11g013065.1.1,0.183697157,0,3.692526342,0,0,0,0,0,3.481967889
Solyc11g013080.2.1,2.73760498,10.06239581,5.301082529,0,9.44444701,14.06798376,0.110275272,0.450685856,3.519080653
Solyc11g013083.1.1,0.982850826,2.234118488,9.439662338,0.133606775,3.675669485,0.044643808,0.177137486,0.133805596,3.948464362
Solyc11g013090.2.1,0.125225648,0,0,0,3.705936933,0.192608861,0,0.122752328,1.038747576
Solyc11g013085.1.1,0,0,0.196389821,0,0.733617054,0,0,0,0.021120409
Solyc11g013087.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013100.2.1,12.53795264,8.72286075,8.280124476,19.64309102,9.698765481,4.463031374,8.528848516,0.993883176,13.03842648
Solyc11g013110.2.1,8.665468678,0.51192631,0.883430887,0.965502547,13.72504429,29.32455841,1.662603248,12.45348773,29.62054019
Solyc11g013120.2.1,8.978931289,23.10657512,11.46382273,13.66246266,3.760460377,5.664356025,3.127167327,6.259032732,7.606230652
Solyc11g013130.2.1,38.85444356,67.51102029,58.5139506,19.56554694,18.96638895,10.64228043,74.69726734,16.67578154,24.12719174
Solyc11g013150.1.1,0.030349986,0.1867305,0.827232953,0.365072506,1.871025419,4.631575768,1.319918032,0.571582506,2.390440061
Solyc11g013155.1.1,12.4631911,40.12890856,2.546032716,62.06967587,6.753082019,13.13133925,22.62158965,237.1918868,0.466780111
Solyc11g013170.2.1,15.66496368,24.05464513,26.04374046,7.938704691,45.28414312,23.42274662,46.12568124,33.30925099,46.17142642
Solyc11g013180.2.1,20.35430852,20.45446195,28.89214843,26.85366897,14.0762844,22.77121607,21.74018966,36.74318404,22.46533751
Solyc11g013190.2.1,49.44044518,126.1552468,50.20938696,87.23909022,25.9943469,42.46947422,41.29922276,95.93584851,31.15239224
